feature,standardized_coefficient
os_name_ios,0.4656
processor_brand_tensor,0.3107
clock_speed_ghz,0.2612
expansion_slot_none,0.2422
storage_gb,0.1247
ram_gb,0.1192
front_camera_count,0.0815
processor_brand_exynos,0.052
front_camera_main_mp,0.0466
has_nfc,0.0449
rear_camera_main_mp,0.0352
expansion_slot_hybrid,0.0328
rear_camera_count,0.0299
charging_watt,0.0286
refresh_rate_hz,0.0238
display_inches,0.0214
battery_mah,0.0159
has_5g,0.0072
core_count,-0.0166
has_ir_blaster,-0.0479
processor_brand_snapdragon,-0.1926
processor_brand_mediatek,-0.2842
processor_brand_unisoc,-0.3515
