model,smartphone_brand,price_inr,rating_score,ram_gb,storage_gb,processor_brand,processor_name,has_5g,refresh_rate_hz,charging_watt,battery_mah,value_ratio
Peace Mini 5,peace,4040,37,3,32,mediatek,mediatek helio,False,60,10.0,2000,9.16
Peace Mini 4,peace,4649,40,3,32,mediatek,mediatek helio,False,60,10.0,2000,8.6
itel A50C,itel,5498,48,2,32,unisoc,unisoc t603,False,60,5.0,4000,8.73
Lava Bold N1 Lite,lava,5698,57,3,64,unisoc,unisoc t765,False,90,10.0,5000,10.0
Ai+ Pulse,ai+,5999,68,4,64,unisoc,unisoc t615,False,90,10.0,5000,11.34
Lava O3 Pro,lava,6349,69,4,128,unisoc,unisoc t606,False,90,10.0,5000,10.87
POCO C71 (6GB RAM + 128GB),poco,6798,71,6,128,unisoc,unisoc t7250,False,120,15.0,5200,10.44
Tecno Pop 9 5G (4GB RAM + 128GB),tecno,8199,74,4,128,mediatek,mediatek dimensity 6300,True,120,18.0,5000,9.03
Tecno Pop 9 5G (8GB RAM + 128GB),tecno,9399,77,8,128,mediatek,mediatek dimensity 6300,True,120,18.0,5000,8.19
HMD Crest,hmd,9999,78,6,128,unisoc,unisoc t760,True,90,33.0,5000,7.8
Poco M6 Plus 5G (8GB RAM + 128GB),poco,10299,81,8,128,snapdragon,snapdragon 4 gen2 ae,True,120,33.0,5030,7.86
Motorola Moto G64 5G,motorola,13147,82,8,128,mediatek,mediatek dimensity 7025,True,120,33.0,6000,6.24
Alcatel V3 Ultra,alcatel,14999,83,6,128,mediatek,mediatek dimensity 6300,True,120,33.0,5010,5.53
Xiaomi Redmi Note 14 (8GB RAM + 128GB),xiaomi,15019,84,8,128,mediatek,mediatek dimensity 7025 ultra,True,120,45.0,5110,5.59
Infinix Note 30 5G (8GB RAM + 256GB),infinix,15999,85,8,256,mediatek,mediatek dimensity 6080,True,120,45.0,5000,5.31
Motorola Edge 60 Stylus,motorola,20348,86,8,256,snapdragon,snapdragon 7s gen2,True,120,68.0,5000,4.23
Motorola Edge 60 5G,motorola,25875,88,12,256,mediatek,mediatek dimensity 7400,True,120,68.0,5500,3.4
Realme GT 7 (12GB RAM + 256GB),realme,39998,89,12,256,mediatek,mediatek dimensity 9400e,True,120,120.0,7000,2.23
Motorola Edge 50 Ultra 5G,motorola,47999,90,12,512,snapdragon,snapdragon 8s gen3,True,144,125.0,4500,1.88
Motorola Razr 50 Ultra,motorola,55130,91,12,512,snapdragon,snapdragon 8s gen3,True,165,45.0,4000,1.65
OnePlus 12 (16GB RAM + 512GB),oneplus,69999,92,16,512,snapdragon,snapdragon 8 gen3,True,120,100.0,5400,1.31
Vivo X200 Pro 5G,vivo,79999,95,16,512,mediatek,mediatek dimensity 9400,True,120,90.0,6000,1.19
Ulefone Armor 29 Pro 5G,ulefone,86500,96,16,512,mediatek,mediatek dimensity 7400,True,120,120.0,21200,1.11
Samsung Galaxy Z Fold 7 (16GB RAM + 1TB),samsung,216999,97,16,1024,snapdragon,snapdragon 8 elite for galaxy,True,120,25.0,4400,0.45
